,city,lat,lng,country,iso2,admin_name,capital,population,population_proper
268,le kremlin-bicêtre,48.81,2.3581,France,FR,Île-de-France,,24380,24380
269,eysines,44.8853,-0.65,France,FR,Nouvelle-Aquitaine,,24374,24374
270,le bouscat,44.8651,-0.5996,France,FR,Nouvelle-Aquitaine,,24339,24339
271,rodez,44.3506,2.575,France,FR,Occitanie,minor,24207,24207
272,les pavillons-sous-bois,48.9,2.5,France,FR,Île-de-France,,24165,24165
273,la valette-du-var,43.1383,5.9831,France,FR,Provence-Alpes-Côte d’Azur,,23955,23955
274,montgeron,48.7039,2.4605,France,FR,Île-de-France,,23800,23800
275,les lilas,48.88,2.42,France,FR,Île-de-France,,23469,23469
276,lormont,44.8792,-0.5217,France,FR,Nouvelle-Aquitaine,,23291,23291
277,maisons-laffitte,48.9469,2.1456,France,FR,Île-de-France,,23080,23080
278,roissy-en-brie,48.7906,2.6519,France,FR,Île-de-France,,23061,23061
279,loos,50.6128,3.0144,France,FR,Hauts-de-France,,23013,23013
280,fontaine,45.1939,5.6856,France,FR,Auvergne-Rhône-Alpes,,22891,22891
281,dammarie-lè-lys,48.5177,2.6402,France,FR,Île-de-France,,22845,22845
282,vélizy-villacoublay,48.7834,2.1834,France,FR,Île-de-France,,22713,22713
283,tassin-la-demi-lune,45.764,4.78,France,FR,Auvergne-Rhône-Alpes,,22676,22676
284,sèvres,48.8239,2.2117,France,FR,Île-de-France,,22618,22618
285,montigny-lès-cormeilles,48.9944,2.1958,France,FR,Île-de-France,,22603,22603
286,deuil-la-barre,48.9767,2.3272,France,FR,Île-de-France,,22510,22510
287,la madeleine,50.6558,3.071,France,FR,Hauts-de-France,,22488,22488
288,torcy,48.8502,2.6508,France,FR,Île-de-France,minor,22444,22444
289,montereau-faut-yonne,48.3853,2.9508,France,FR,Île-de-France,,22259,22259
290,combs-la-ville,48.67,2.56,France,FR,Île-de-France,,22240,22240
291,hérouville-saint-clair,49.2044,-0.3253,France,FR,Normandie,,22227,22227
292,montmorency,48.9906,2.3228,France,FR,Île-de-France,,21870,21870
293,sainte-foy-lès-lyon,45.7336,4.8025,France,FR,Auvergne-Rhône-Alpes,,21858,21858
294,montigny-lès-metz,49.1006,6.1539,France,FR,Grand Est,,21854,21854
295,le petit-quevilly,49.4311,1.0539,France,FR,Normandie,,21782,21782
296,saint-jean-de-braye,47.9128,1.9719,France,FR,Centre-Val de Loire,,21700,21700
297,arcueil,48.8075,2.3361,France,FR,Île-de-France,,21557,21557
298,mons-en-baroeul,50.6369,3.1103,France,FR,Hauts-de-France,,21467,21467
299,fleury-les-aubrais,47.9312,1.921,France,FR,Centre-Val de Loire,,21438,21438
300,saint-michel-sur-orge,48.6303,2.3025,France,FR,Île-de-France,,21437,21437
301,neuilly-plaisance,48.8619,2.5064,France,FR,Île-de-France,,21415,21415
302,nogent-sur-oise,49.2756,2.4683,France,FR,Hauts-de-France,,21382,21382
303,mantes-la-ville,48.975,1.7117,France,FR,Île-de-France,,21376,21376
304,achères,48.9602,2.0684,France,FR,Île-de-France,,21368,21368
305,saint-mandé,48.8422,2.4186,France,FR,Île-de-France,,21195,21195
306,villeneuve-le-roi,48.7333,2.4167,France,FR,Île-de-France,,21129,21129
307,saint-cyr-l’école,48.8008,2.0633,France,FR,Île-de-France,,20971,20971
308,saint-genis-laval,45.6953,4.7931,France,FR,Auvergne-Rhône-Alpes,,20929,20929
309,saint-gratien,48.9719,2.2828,France,FR,Île-de-France,,20866,20866
310,wasquehal,50.6694,3.1308,France,FR,Hauts-de-France,,20836,20836
311,halluin,50.7836,3.1256,France,FR,Hauts-de-France,,20829,20829
312,bourg-la-reine,48.7796,2.3151,France,FR,Île-de-France,,20810,20810
313,morsang-sur-orge,48.6618,2.3461,France,FR,Île-de-France,,20785,20785
314,croix,50.6781,3.1508,France,FR,Hauts-de-France,,20778,20778
315,coudekerque-branche,51.0253,2.3917,France,FR,Hauts-de-France,,20765,20765
316,fougères,48.3525,-1.1986,France,FR,Bretagne,minor,20653,20653
317,denain,50.3294,3.3958,France,FR,Hauts-de-France,,20640,20640
318,longjumeau,48.6943,2.2958,France,FR,Île-de-France,,20620,20620
319,sceaux,48.7786,2.2906,France,FR,Île-de-France,,20488,20488
320,saint-pol-sur-mer,51.0314,2.3439,France,FR,Hauts-de-France,,20479,20479
321,la celle-saint-cloud,48.8411,2.1344,France,FR,Île-de-France,,20476,20476
322,joinville-le-pont,48.8214,2.4728,France,FR,Île-de-France,,20413,20413
323,cugnaux,43.5386,1.3444,France,FR,Occitanie,,20341,20341
324,chevilly-larue,48.7663,2.3533,France,FR,Île-de-France,,20326,20326
325,lingolsheim,48.56,7.68,France,FR,Grand Est,,20266,20266
326,le plessis-trévise,48.8111,2.5717,France,FR,Île-de-France,,20218,20218
327,le mée-sur-seine,48.5333,2.6289,France,FR,Île-de-France,,20207,20207
328,mont-saint-aignan,49.463,1.0883,France,FR,Normandie,,20066,20066
329,chaville,48.8086,2.1886,France,FR,Île-de-France,,19991,19991
330,chilly-mazarin,48.7025,2.3125,France,FR,Île-de-France,,19938,19938
331,lisieux,49.15,0.23,France,FR,Normandie,minor,19807,19807
332,ronchin,50.6053,3.0886,France,FR,Hauts-de-France,,19437,19437
333,saint-fons,45.7086,4.8533,France,FR,Auvergne-Rhône-Alpes,,19360,19360
334,moulins,46.5653,3.3333,France,FR,Auvergne-Rhône-Alpes,minor,19343,19343
335,villefontaine,45.6142,5.1494,France,FR,Auvergne-Rhône-Alpes,,19083,19083
336,gentilly,48.8133,2.3444,France,FR,Île-de-France,,19048,19048
337,bonneuil-sur-marne,48.7742,2.4875,France,FR,Île-de-France,,18750,18750
338,hem,50.6558,3.1886,France,FR,Hauts-de-France,,18713,18713
